E	I	E	I	E	I	E	I	E	I	E	I
V	nA	V	nA	V	nA	V	nA	V	nA	V	nA
	Sine 1 mHz		Sine 5 mHz		Sine 10 mHz		Sine 50 mHz		Sine 100 mHz		Sine 200 mHz
0.24614	31.15362	0.42951	82.85892	0.42951	85.47192			-0.08052	-7.47868	-0.08053	-5.41908
											
0.25056	32.10725	0.42993	83.39662	0.42993	86.02543			-0.02699	-1.23107	-0.02699	0.42069
										0.02698	5.75152
0.25493	33.04598	0.42993	83.70278	0.42993	86.32935			0.02698	4.36257		
											
0.25926	34.05443	0.42951	83.88852	0.42951	86.60144						
											
0.26355	34.96495	0.42866	84.04469	0.42866	86.66655						
											
0.2678	35.88431	0.42739	83.88844	0.42739	86.47128						
											
0.272	36.90344	0.42569	83.58801	0.42569	86.20304						
											
0.27617	37.90741	0.42358	83.11924	0.42358	85.71478						
											
0.28029	38.83341	0.42105	82.5553	0.42105	85.21292						
											
0.28436	39.83915	0.4181	81.81796	0.4181	84.45937						
											
0.28839	40.86901	0.41474	80.90626	0.41474	83.62142						
											
0.29238	41.93604	0.41097	79.93113	0.41097	82.64902						
											
0.29632	42.93895	0.4068	78.83811	0.4068	81.47238						
											
0.30021	43.9648	0.40222	77.59513	0.40222	80.23423						
											
0.30405	44.97911	0.39725	76.175	0.39725	78.87462						
											
0.30785	46.04592	0.39189	74.72375	0.39189	77.47978						
											
0.3116	47.14473	0.38614	73.10533	0.38614	75.79926						
											
0.3153	48.09605	0.38	71.38509	0.38	74.19065						
											
0.31895	49.19917	0.3735	69.55086	0.3735	72.32579						
											
0.32255	50.25441	0.36662	67.63477	0.36662	70.40619						
											
0.32609	51.27216	0.35938	65.69957	0.35938	68.42783						
											
0.32959	52.29474	0.35179	63.53948	0.35179	66.29476						
											
0.33303	53.29969	0.34385	61.36144	0.34385	64.1623						
											
0.33643	54.36428	0.33557	59.12285	0.33557	61.89232						
											
0.33976	55.36293	0.32696	56.78686	0.32696	59.57231						
											
0.34305	56.43373	0.31803	54.47266	0.31803	57.19987						
											
0.34628	57.61376	0.30878	52.06991	0.30878	54.72288						
											
0.34946	58.60977	0.29923	49.66057	0.29923	52.2117						
											
0.35258	59.70542	0.28938	47.13264	0.28938	49.68081						
											
0.35564	60.74303	0.27925	44.59905	0.27925	47.11189						
											
0.35865	61.79209	0.26884	42.1581	0.26884	44.53403						
											
0.3616	62.76219	0.25817	39.6514	0.25817	41.92532						
											
0.3645	63.7551	0.24724	37.18178	0.24724	39.35756						
											
0.36734	64.7733	0.23607	34.69742	0.23607	36.7361						
											
0.37012	65.76842	0.22467	32.22578	0.22467	34.19186						
											
0.37284	66.78085	0.21304	29.8412	0.21304	31.64707						
											
0.3755	67.86769	0.2012	27.4319	0.2012	29.13415						
											
0.3781	68.90415	0.18917	25.0664	0.18917	26.69598						
											
0.38065	69.83215	0.17694	22.78704	0.17694	24.33061						
											
0.38313	70.75598	0.16455	20.56303	0.16455	22.03982						
											
0.38555	71.63115	0.15199	18.43986	0.15199	19.81002						
											
0.38792	72.59385	0.13928	16.37863	0.13928	17.63899						
											
0.39022	73.4479	0.12643	14.39967	0.12643	15.54937						
											
0.39245	74.37946	0.11346	12.50633	0.11346	13.55377						
											
0.39463	75.24233	0.10038	10.71515	0.10038	11.63026						
											
0.39675	76.10013	0.0872	9.02122	0.0872	9.8007						
											
0.3988	76.88221	0.07393	7.41598	0.07393	8.06461						
											
0.40079	77.68055	0.06059	5.90304	0.06059	6.39962						
											
0.40271	78.55589	0.04718	4.46954	0.04718	4.83002						
											
0.40458	79.33857	0.03374	3.11288	0.03374	3.34111						
											
0.40637	80.09367	0.02026	1.82407	0.02026	1.917						
											
0.40811	80.87754	0.00675	0.59363	0.00675	0.5553						
											
0.40978	81.63749	-0.00675	-0.58699	-0.00675	-0.75374						
											
0.41138	82.45585	-0.02025	-1.72854	-0.02025	-2.02295						
											
0.41292	83.05784	-0.03374	-2.84397	-0.03374	-3.26113						
											
0.4144	83.70559	-0.04718	-3.94689	-0.04718	-4.47346						
											
0.41581	84.31519	-0.06058	-5.04914	-0.06058	-5.67587						
											
0.41715	84.92868	-0.07393	-6.15796	-0.07393	-6.87359						
											
0.41843	85.53838	-0.08719	-7.29535	-0.08719	-8.09086						
											
0.41964	86.23845	-0.10038	-8.46844	-0.10038	-9.32877						
											
0.42079	86.79593	-0.11346	-9.69273	-0.11346	-10.5828						
											
0.42187	87.22667	-0.12643	-10.97572	-0.12643	-11.88182						
											
0.42288	87.8202	-0.13928	-12.34259	-0.13928	-13.22928						
											
0.42382	88.3463	-0.15199	-13.79775	-0.15199	-14.64859						
											
0.4247	88.88549	-0.16455	-15.35969	-0.16455	-16.14661						
											
0.42551	89.33523	-0.17694	-17.04738	-0.17694	-17.71486						
											
0.42626	89.799	-0.18917	-18.85003	-0.18917	-19.39211						
											
0.42694	90.28005	-0.2012	-20.80338	-0.2012	-21.17137						
											
0.42755	90.66455	-0.21304	-22.87988	-0.21304	-23.07004						
											
0.42809	90.98651	-0.22467	-25.08938	-0.22466	-25.08971						
											
0.42856	91.30153	-0.23607	-27.4075	-0.23607	-27.18079						
											
0.42897	91.64086	-0.24724	-29.84625	-0.24724	-29.39402						
											
0.42931	92.02482	-0.25817	-32.39638	-0.25817	-31.71509						
											
0.42958	92.30387	-0.26884	-35.05567	-0.26884	-34.1094						
											
0.42979	92.49897	-0.27925	-37.77184	-0.27925	-36.57294						
											
0.42992	92.64797	-0.28938	-40.58945	-0.28938	-39.0692						
											
0.42999	92.83642	-0.29923	-43.47681	-0.29923	-41.64683						
											
0.42999	92.98056	-0.30878	-46.43751	-0.30878	-44.28583						
											
0.42992	93.07634	-0.31803	-49.49168	-0.31803	-46.94422						
											
0.42979	93.19113	-0.32696	-52.56312	-0.32696	-49.62241						
											
0.42958	93.20077	-0.33557	-55.7332	-0.33557	-52.35052						
											
0.42931	93.28116	-0.34385	-58.91999	-0.34385	-55.08961						
											
0.42897	93.3229	-0.35179	-62.10369	-0.35179	-57.82871						
											
0.42856	93.37145	-0.35938	-65.23032	-0.35938	-60.54746						
											
0.42809	93.3399	-0.36662	-68.24135	-0.36662	-63.31055						
											
0.42755	93.24802	-0.3735	-71.19566	-0.3735	-66.04729						
											
0.42694	93.15462	-0.38	-74.16911	-0.38	-68.76583						
											
0.42626	93.16674	-0.38614	-77.53331	-0.38614	-71.38315						
											
0.42551	92.97541	-0.39189	-83.5093	-0.39189	-74.01208						
											
0.4247	92.78336	-0.39725	-86.50097	-0.39725	-76.57899						
											
0.42382	92.52848	-0.40222	-89.15662	-0.40222	-79.00864						
											
0.42288	92.28184	-0.4068	-91.60609	-0.4068	-81.29958						
											
0.42187	92.10696	-0.41097	-93.8955	-0.41097	-83.50067						
											
0.42079	91.73542	-0.41474	-95.91331	-0.41474	-85.5267						
											
0.41964	91.44913	-0.4181	-97.74535	-0.4181	-87.54654						
											
0.41843	91.13113	-0.42105	-99.44143	-0.42105	-89.43381						
											
0.41715	90.78378	-0.42358	-100.9578	-0.42358	-91.7038						
											
0.41581	90.40603	-0.42569	-102.2847	-0.42569	-96.88851						
											
0.4144	90.04735	-0.42739	-103.4183	-0.42739	-99.20064						
											
0.41292	89.514	-0.42866	-104.3806	-0.42866	-100.5706						
											
0.41138	89.13877	-0.42951	-105.1785	-0.42951	-101.6415						
											
0.40978	88.78436	-0.42993	-105.7393	-0.42993	-102.5169						
											
0.40811	88.34268	-0.42993	-106.0836	-0.42993	-103.1986						
											
0.40637	87.87265	-0.42951	-106.2294	-0.42951	-103.7244						
											
0.40458	87.2718	-0.42866	-106.2367	-0.42866	-104.0457						
											
0.40271	86.73501	-0.42739	-106.1581	-0.42739	-104.2028						
											
0.40079	86.24951	-0.42569	-105.9207	-0.42569	-104.095						
											
0.3988	85.75253	-0.42358	-105.4803	-0.42358	-103.8549						
											
0.39675	85.22709	-0.42105	-104.8155	-0.42105	-103.4179						
											
0.39463	84.65712	-0.4181	-104.0016	-0.4181	-102.8015						
											
0.39245	84.10966	-0.41474	-102.9761	-0.41474	-102.0166						
											
0.39022	83.52158	-0.41097	-101.7654	-0.41097	-101.0648						
											
0.38792	82.72046	-0.4068	-100.4101	-0.4068	-99.91911						
											
0.38555	82.04744	-0.40222	-98.92379	-0.40222	-98.65053						
											
0.38313	81.27072	-0.39725	-97.32507	-0.39725	-97.20067						
											
0.38065	80.48812	-0.39189	-95.54124	-0.39189	-95.60096						
											
