E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A
	15.4 mHz		26.0 mHz		55.6 mHz		1.7 mHz		0.55 mHz
						-0.144	-2.6148E-9	0.546	4.90653E-8
						-0.138	-2.47018E-9	0.544	4.87512E-8
						-0.132	-2.31413E-9	0.542	4.84944E-8
						-0.126	-2.18732E-9	0.54	4.83069E-8
						-0.12	-2.0457E-9	0.538	4.78519E-8
						-0.114	-1.91268E-9	0.536	4.77424E-8
						-0.108	-1.77772E-9	0.534	4.7334E-8
						-0.102	-1.64293E-9	0.532	4.71662E-8
						-0.096	-1.51712E-9	0.53	4.67598E-8
						-0.09	-1.39115E-9	0.528	4.66436E-8
						-0.084	-1.27646E-9	0.526	4.63817E-8
						-0.078	-1.16161E-9	0.524	4.61337E-8
						-0.072	-1.04624E-9	0.522	4.59368E-8
						-0.066	-9.12113E-10	0.52	4.56009E-8
						-0.06	-8.28364E-10	0.518	4.53532E-8
						-0.054	-7.28139E-10	0.516	4.5125E-8
						-0.048	-6.29912E-10	0.514	4.49633E-8
						-0.042	-5.36309E-10	0.512	4.46179E-8
						-0.036	-4.44321E-10	0.51	4.4339E-8
						-0.03	-3.54325E-10	0.508	4.41621E-8
						-0.024	-2.67915E-10	0.506	4.39209E-8
						-0.018	-1.83621E-10	0.504	4.35942E-8
						-0.012	-1.03733E-10	0.502	4.3375E-8
						-0.006	-2.2873E-11	0.5	4.31004E-8
						0	5.94031E-11	0.498	4.28854E-8
								0.496	4.26706E-8
								0.494	4.24709E-8
								0.492	4.22142E-8
								0.49	4.20088E-8
								0.488	4.18169E-8
								0.486	4.14984E-8
								0.484	4.12289E-8
								0.482	4.09451E-8
								0.48	4.05692E-8
								0.478	4.03766E-8
								0.476	4.01218E-8
								0.474	3.97962E-8
								0.472	3.95941E-8
								0.47	3.93646E-8
								0.468	3.90917E-8
								0.466	3.88677E-8
								0.464	3.85345E-8
								0.462	3.82505E-8
								0.46	3.80175E-8
								0.458	3.78524E-8
								0.456	3.75297E-8
								0.454	3.73977E-8
								0.452	3.71752E-8
								0.45	3.69166E-8
								0.448	3.66687E-8
								0.446	3.64986E-8
								0.444	3.62162E-8
								0.442	3.60588E-8
								0.44	3.58737E-8
								0.438	3.5739E-8
								0.436	3.54318E-8
								0.434	3.52443E-8
								0.432	3.49258E-8
								0.43	3.4678E-8
								0.428	3.44866E-8
								0.426	3.42013E-8
								0.424	3.39846E-8
								0.422	3.37465E-8
								0.42	3.36227E-8
								0.418	3.33735E-8
								0.416	3.30231E-8
								0.414	3.28109E-8
								0.412	3.25923E-8
								0.41	3.23982E-8
								0.408	3.21424E-8
								0.406	3.18631E-8
								0.404	3.15739E-8
								0.402	3.14156E-8
								0.4	3.11983E-8
								0.398	3.09853E-8
								0.396	3.07813E-8
								0.394	3.05743E-8
								0.392	3.03527E-8
								0.39	3.00461E-8
								0.388	2.98285E-8
								0.386	2.96213E-8
								0.384	2.93895E-8
								0.382	2.91523E-8
								0.38	2.88949E-8
								0.378	2.86147E-8
								0.376	2.85091E-8
								0.374	2.83056E-8
								0.372	2.81101E-8
								0.37	2.78171E-8
								0.368	2.7683E-8
								0.366	2.74289E-8
								0.364	2.71747E-8
								0.362	2.69406E-8
								0.36	2.67342E-8
								0.358	2.65461E-8
								0.356	2.62789E-8
								0.354	2.6066E-8
								0.352	2.58116E-8
								0.35	2.55903E-8
								0.348	2.53303E-8
								0.346	2.52145E-8
								0.344	2.49326E-8
								0.342	2.47385E-8
								0.34	2.45171E-8
								0.338	2.42848E-8
								0.336	2.41189E-8
								0.334	2.3854E-8
								0.332	2.37006E-8
								0.33	2.34672E-8
								0.328	2.33242E-8
								0.326	2.30295E-8
								0.324	2.27867E-8
								0.322	2.2584E-8
								0.32	2.24074E-8
								0.318	2.2175E-8
								0.316	2.2007E-8
								0.314	2.1694E-8
								0.312	2.15633E-8
								0.31	2.13575E-8
								0.308	2.11322E-8
								0.306	2.09117E-8
								0.304	2.0728E-8
								0.302	2.05275E-8
								0.3	2.03022E-8
								0.298	2.01491E-8
								0.296	1.99191E-8
								0.294	1.97308E-8
								0.292	1.95398E-8
								0.29	1.93234E-8
								0.288	1.91377E-8
								0.286	1.88983E-8
								0.284	1.8708E-8
								0.282	1.84902E-8
								0.28	1.82407E-8
								0.278	1.80783E-8
								0.276	1.78848E-8
								0.274	1.76895E-8
								0.272	1.75536E-8
								0.27	1.73393E-8
								0.268	1.71694E-8
								0.266	1.6986E-8
								0.264	1.67747E-8
								0.262	1.66153E-8
								0.26	1.64121E-8
								0.258	1.62295E-8
								0.256	1.6041E-8
								0.254	1.58508E-8
								0.252	1.56806E-8
								0.25	1.53314E-8
								0.248	1.50823E-8
								0.246	1.49228E-8
								0.244	1.47647E-8
								0.242	1.45471E-8
								0.24	1.43326E-8
								0.238	1.41702E-8
								0.236	1.39316E-8
								0.234	1.37763E-8
								0.232	1.36098E-8
								0.23	1.3424E-8
								0.228	1.32623E-8
								0.226	1.3086E-8
								0.224	1.28853E-8
								0.222	1.26978E-8
								0.22	1.25293E-8
								0.218	1.23586E-8
								0.216	1.21834E-8
								0.214	1.19626E-8
								0.212	1.17527E-8
								0.21	1.15918E-8
								0.208	1.14131E-8
								0.206	1.11958E-8
								0.204	1.0994E-8
								0.202	1.08299E-8
								0.2	1.06375E-8
								0.198	1.04233E-8
								0.196	1.02398E-8
								0.194	1.00175E-8
								0.192	9.73197E-9
								0.19	9.56567E-9
								0.188	9.34981E-9
								0.186	9.14838E-9
								0.184	8.95903E-9
								0.182	8.76163E-9
								0.18	8.55998E-9
								0.178	8.35111E-9
								0.176	8.17326E-9
								0.174	7.98697E-9
								0.172	7.81253E-9
								0.17	7.64333E-9
								0.168	7.46125E-9
								0.166	7.29218E-9
								0.164	7.12351E-9
								0.162	6.94622E-9
								0.16	6.80533E-9
								0.158	6.65118E-9
								0.156	6.49928E-9
								0.154	6.35252E-9
								0.152	6.20356E-9
								0.15	6.09982E-9
								0.148	5.9257E-9
								0.146	5.78639E-9
								0.144	5.65132E-9
								0.142	5.53663E-9
								0.14	5.38834E-9
								0.138	5.26615E-9
								0.136	5.13161E-9
								0.134	5.01449E-9
								0.132	4.88737E-9
								0.13	4.77213E-9
								0.128	4.65728E-9
								0.126	4.5304E-9
								0.124	4.41654E-9
								0.122	4.30031E-9
								0.12	4.19161E-9
								0.118	4.0965E-9
								0.116	3.98238E-9
								0.114	3.86772E-9
								0.112	3.78106E-9
								0.11	3.67731E-9
								0.108	3.58395E-9
								0.106	3.4836E-9
								0.104	3.3848E-9
								0.102	3.29346E-9
								0.1	3.20353E-9
								0.098	3.11529E-9
								0.096	3.02253E-9
								0.094	2.93366E-9
								0.092	2.84541E-9
								0.09	2.74768E-9
								0.088	2.67557E-9
								0.086	2.5895E-9
								0.084	2.50799E-9
								0.082	2.4274E-9
								0.08	2.34705E-9
								0.078	2.26124E-9
								0.076	2.18162E-9
								0.074	2.10392E-9
								0.072	2.03055E-9
								0.07	1.96076E-9
								0.068	1.8869E-9
								0.066	1.81721E-9
								0.064	1.74175E-9
								0.062	1.67445E-9
								0.06	1.60686E-9
								0.058	1.54032E-9
								0.056	1.46968E-9
								0.054	1.40286E-9
								0.052	1.33819E-9
								0.05	1.27748E-9
								0.048	1.21183E-9
								0.046	1.14907E-9
								0.044	1.08849E-9
								0.042	1.02998E-9
								0.04	9.3865E-10
								0.038	8.9939E-10
								0.036	8.40495E-10
								0.034	7.82862E-10
								0.032	7.25845E-10
								0.03	6.71268E-10
								0.028	6.14603E-10
								0.026	5.62822E-10
								0.024	5.1027E-10
								0.022	4.57669E-10
								0.02	4.07086E-10
								0.018	3.59663E-10
								0.016	3.12866E-10
								0.014	2.66075E-10
								0.012	2.21347E-10
								0.01	1.78612E-10
								0.008	1.37334E-10
								0.006	9.71431E-11
								0.004	5.76005E-11
								0.002	1.8203E-11
								0	-1.72595E-11
								-0.002	-5.11349E-11
								-0.004	-8.38386E-11
								-0.006	-1.1376E-10
								-0.008	-1.40025E-10
								-0.01	-1.6916E-10
								-0.012	-1.97223E-10
								-0.014	-2.2584E-10
								-0.016	-2.48301E-10
								-0.018	-2.73927E-10
								-0.02	-2.9529E-10
								-0.022	-3.2017E-10
								-0.024	-3.42576E-10
								-0.026	-3.61361E-10
								-0.028	-3.80448E-10
								-0.03	-4.00673E-10
								-0.032	-4.20901E-10
								-0.034	-4.42378E-10
								-0.036	-4.62426E-10
								-0.038	-4.80331E-10
								-0.04	-5.00353E-10
								-0.042	-5.16247E-10
								-0.044	-5.35721E-10
								-0.046	-5.52333E-10
								-0.048	-5.69379E-10
								-0.05	-5.85561E-10
								-0.052	-6.01227E-10
								-0.054	-6.17492E-10
								-0.056	-6.33066E-10
								-0.058	-6.48459E-10
								-0.06	-6.65641E-10
								-0.062	-6.82704E-10
								-0.064	-6.98108E-10
								-0.066	-7.13838E-10
								-0.068	-7.35595E-10
								-0.07	-7.56232E-10
								-0.072	-7.6917E-10
								-0.074	-7.86151E-10
								-0.076	-8.04773E-10
								-0.078	-8.25973E-10
								-0.08	-8.45529E-10
								-0.082	-8.66106E-10
								-0.084	-8.81107E-10
								-0.086	-9.0172E-10
								-0.088	-9.21551E-10
								-0.09	-9.41089E-10
								-0.092	-9.6462E-10
								-0.094	-9.80827E-10
								-0.096	-1.00721E-9
								-0.098	-1.01896E-9
								-0.1	-1.04245E-9
								-0.102	-1.06302E-9
								-0.104	-1.08415E-9
								-0.106	-1.10746E-9
								-0.108	-1.12676E-9
								-0.11	-1.14461E-9
								-0.112	-1.17045E-9
								-0.114	-1.19265E-9
								-0.116	-1.21709E-9
								-0.118	-1.24035E-9
								-0.12	-1.26477E-9
								-0.122	-1.28067E-9
								-0.124	-1.31305E-9
								-0.126	-1.3298E-9
								-0.128	-1.34993E-9
								-0.13	-1.37315E-9
								-0.132	-1.39314E-9
								-0.134	-1.41249E-9
								-0.136	-1.43666E-9
								-0.138	-1.45779E-9
								-0.14	-1.48E-9
								-0.142	-1.51897E-9
								-0.144	-1.54031E-9
								-0.146	-1.58677E-9
								-0.148	-1.60568E-9
								-0.15	-1.62667E-9
								-0.152	-1.64923E-9
								-0.154	-1.67915E-9
								-0.156	-1.70802E-9
								-0.158	-1.7429E-9
								-0.16	-1.77857E-9
								-0.162	-1.79431E-9
								-0.164	-1.82615E-9
								-0.166	-1.84975E-9
								-0.168	-1.87948E-9
								-0.17	-1.91599E-9
								-0.172	-1.95341E-9
								-0.174	-1.98635E-9
								-0.176	-2.0195E-9
								-0.178	-2.05715E-9
								-0.18	-2.0908E-9
								-0.182	-2.11736E-9
								-0.184	-2.159E-9
								-0.186	-2.19965E-9
								-0.188	-2.22807E-9
								-0.19	-2.2558E-9
								-0.192	-2.29444E-9
								-0.194	-2.33573E-9
								-0.196	-2.3652E-9
								-0.198	-2.41267E-9
								-0.2	-2.44205E-9
								-0.202	-2.51433E-9
								-0.204	-2.53936E-9
								-0.206	-2.61348E-9
								-0.208	-2.66518E-9
								-0.21	-2.70601E-9
								-0.212	-2.74097E-9
								-0.214	-2.80734E-9
								-0.216	-2.79739E-9
								-0.218	-2.89382E-9
								-0.22	-2.94686E-9
								-0.222	-3.00364E-9
								-0.224	-3.02149E-9
								-0.226	-3.06767E-9
								-0.228	-3.14073E-9
								-0.23	-3.16289E-9
								-0.232	-3.2478E-9
								-0.234	-3.25028E-9
								-0.236	-3.33603E-9
								-0.238	-3.32502E-9
								-0.24	-3.37528E-9
								-0.242	-3.39894E-9
								-0.244	-3.44216E-9
								-0.246	-3.50749E-9
								-0.248	-3.4336E-9
								-0.25	-3.46112E-9
								-0.252	-3.48987E-9
								-0.254	-3.55535E-9
								-0.256	-3.61724E-9
								-0.258	-3.64536E-9
								-0.26	-3.67684E-9
								-0.262	-3.71409E-9
								-0.264	-3.76363E-9
								-0.266	-3.81454E-9
								-0.268	-3.84461E-9
								-0.27	-3.8847E-9
								-0.272	-3.90708E-9
								-0.274	-3.96305E-9
								-0.276	-4.02402E-9
								-0.278	-4.06689E-9
								-0.28	-4.10883E-9
								-0.282	-4.14916E-9
								-0.284	-4.1625E-9
								-0.286	-4.20835E-9
								-0.288	-4.29567E-9
								-0.29	-4.30197E-9
								-0.292	-4.35431E-9
								-0.294	-4.4244E-9
								-0.296	-4.42657E-9
								-0.298	-4.49717E-9
								-0.3	-4.53517E-9
								-0.302	-4.57727E-9
								-0.304	-4.61515E-9
								-0.306	-4.71372E-9
								-0.308	-4.73676E-9
								-0.31	-4.78081E-9
								-0.312	-4.80486E-9
								-0.314	-4.84857E-9
								-0.316	-4.87388E-9
								-0.318	-4.92073E-9
								-0.32	-5.08915E-9
								-0.322	-5.10922E-9
								-0.324	-5.20374E-9
								-0.326	-5.20129E-9
								-0.328	-5.28496E-9
								-0.33	-5.37965E-9
								-0.332	-5.42333E-9
								-0.334	-5.37434E-9
								-0.336	-5.38951E-9
								-0.338	-5.49741E-9
								-0.34	-5.57572E-9
								-0.342	-5.57844E-9
								-0.344	-5.66139E-9
								-0.346	-5.70895E-9
								-0.348	-5.78933E-9
								-0.35	-5.85739E-9
								-0.352	-5.962E-9
								-0.354	-6.10085E-9
								-0.356	-6.13609E-9
								-0.358	-6.21811E-9
								-0.36	-6.28917E-9
								-0.362	-6.40714E-9
								-0.364	-6.50678E-9
								-0.366	-6.56867E-9
								-0.368	-6.69696E-9
								-0.37	-6.83166E-9
								-0.372	-6.97813E-9
								-0.374	-7.18035E-9
								-0.376	-7.54035E-9
								-0.378	-7.73473E-9
								-0.38	-8.01938E-9
								-0.382	-8.24189E-9
								-0.384	-8.4057E-9
								-0.386	-8.4818E-9
								-0.388	-8.58116E-9
								-0.39	-8.68031E-9
								-0.392	-8.67375E-9
								-0.394	-8.64382E-9
								-0.396	-8.6832E-9
								-0.398	-8.73185E-9
								-0.4	-8.75906E-9
								-0.402	-8.74394E-9
								-0.404	-8.88636E-9
								-0.406	-8.92476E-9
								-0.408	-8.97839E-9
								-0.41	-9.07316E-9
								-0.412	-9.11971E-9
								-0.414	-9.19774E-9
								-0.416	-9.27082E-9
								-0.418	-9.36294E-9
								-0.42	-9.37808E-9
								-0.422	-9.40799E-9
								-0.424	-9.48551E-9
								-0.426	-9.57038E-9
								-0.428	-9.65707E-9
								-0.43	-9.7622E-9
								-0.432	-9.74725E-9
								-0.434	-9.82374E-9
								-0.436	-1.02271E-8
								-0.438	-1.01471E-8
								-0.44	-1.01403E-8
								-0.442	-1.02309E-8
								-0.444	-1.03195E-8
								-0.446	-1.04414E-8
								-0.448	-1.04482E-8
								-0.45	-1.04751E-8
								-0.452	-1.08962E-8
								-0.454	-1.05765E-8
								-0.456	-1.09923E-8
								-0.458	-1.11204E-8
								-0.46	-1.10179E-8
								-0.462	-1.0995E-8
								-0.464	-1.11204E-8
								-0.466	-1.15287E-8
								-0.468	-1.10455E-8
								-0.47	-1.12027E-8
								-0.472	-1.12878E-8
								-0.474	-1.13933E-8
								-0.476	-1.13539E-8
								-0.478	-1.13508E-8
								-0.48	-1.16252E-8
								-0.482	-1.16052E-8
								-0.484	-1.16194E-8
								-0.486	-1.16269E-8
								-0.488	-1.18962E-8
								-0.49	-1.19255E-8
								-0.492	-1.19268E-8
								-0.494	-1.23856E-8
								-0.496	-1.25249E-8
								-0.498	-1.25858E-8
								-0.5	-1.28244E-8
								-0.502	-1.28065E-8
								-0.504	-1.26694E-8
								-0.506	-1.29619E-8
								-0.508	-1.31038E-8
								-0.51	-1.31732E-8
								-0.512	-1.31241E-8
								-0.514	-1.32798E-8
								-0.516	-1.34735E-8
								-0.518	-1.35435E-8
								-0.52	-1.37639E-8
								-0.522	-1.37682E-8
								-0.524	-1.37181E-8
								-0.526	-1.33766E-8
								-0.528	-1.39538E-8
								-0.53	-1.40616E-8
								-0.532	-1.43276E-8
								-0.534	-1.43342E-8
								-0.536	-1.45792E-8
								-0.538	-1.48384E-8
								-0.54	-1.51436E-8
								-0.542	-1.51216E-8
								-0.544	-1.53239E-8
								-0.546	-1.53649E-8
								-0.548	-1.54461E-8
								-0.55	-1.58158E-8
								-0.552	-1.58805E-8
								-0.554	-1.57896E-8
								-0.556	-1.60597E-8
								-0.558	-1.61092E-8
								-0.56	-1.61712E-8
								-0.562	-1.62848E-8
								-0.564	-1.64258E-8
								-0.566	-1.66725E-8
								-0.568	-1.6679E-8
								-0.57	-1.69356E-8
								-0.572	-1.68989E-8
								-0.574	-1.71091E-8
								-0.576	-1.71429E-8
								-0.578	-1.71881E-8
								-0.58	-1.72755E-8
								-0.582	-1.73495E-8
								-0.584	-1.75359E-8
								-0.586	-1.76203E-8
								-0.588	-1.78291E-8
								-0.59	-1.78895E-8
								-0.592	-1.80782E-8
								-0.594	-1.81645E-8
								-0.596	-1.82687E-8
								-0.598	-1.83668E-8
								-0.6	-1.84503E-8
								-0.602	-1.85066E-8
								-0.604	-1.87478E-8
								-0.606	-1.88057E-8
								-0.608	-1.88848E-8
								-0.61	-1.91254E-8
								-0.612	-1.92107E-8
								-0.614	-1.92409E-8
								-0.616	-1.95705E-8
								-0.618	-1.9664E-8
								-0.62	-1.98107E-8
								-0.622	-1.9913E-8
								-0.624	-2.01694E-8
								-0.626	-2.02296E-8
								-0.628	-2.0446E-8
								-0.63	-2.04575E-8
								-0.632	-2.04699E-8
								-0.634	-2.06289E-8
								-0.636	-2.07955E-8
								-0.638	-2.1002E-8
								-0.64	-2.11595E-8
								-0.642	-2.12442E-8
								-0.644	-2.13013E-8
								-0.646	-2.14205E-8
								-0.648	-2.15238E-8
								-0.65	-2.17549E-8
								-0.652	-2.18265E-8
								-0.654	-2.20564E-8
								-0.656	-2.211E-8
								-0.658	-2.2287E-8
								-0.66	-2.23641E-8
								-0.662	-2.23799E-8
								-0.664	-2.24961E-8
								-0.666	-2.25092E-8
								-0.668	-2.26056E-8
								-0.67	-2.27351E-8
								-0.672	-2.29417E-8
								-0.674	-2.30566E-8
								-0.676	-2.31106E-8
								-0.678	-2.33094E-8
								-0.68	-2.33406E-8
								-0.682	-2.33947E-8
								-0.684	-2.34944E-8
								-0.686	-2.36476E-8
								-0.688	-2.3795E-8
								-0.69	-2.40137E-8
								-0.692	-2.4102E-8
								-0.694	-2.42582E-8
								-0.696	-2.44131E-8
								-0.698	-2.45458E-8
								-0.7	-2.4679E-8
								-0.702	-2.47284E-8
								-0.704	-2.50428E-8
								-0.706	-2.53427E-8
								-0.708	-2.53678E-8
								-0.71	-2.54388E-8
								-0.712	-2.55795E-8
								-0.714	-2.55482E-8
								-0.716	-2.5577E-8
								-0.718	-2.58253E-8
								-0.72	-2.56432E-8
								-0.722	-2.59053E-8
								-0.724	-2.60982E-8
								-0.726	-2.61801E-8
								-0.728	-2.65543E-8
								-0.73	-2.66743E-8
								-0.732	-2.67124E-8
								-0.734	-2.6794E-8
								-0.736	-2.70436E-8
								-0.738	-2.72145E-8
								-0.74	-2.73129E-8
								-0.742	-2.74898E-8
								-0.744	-2.75856E-8
								-0.746	-2.77907E-8
								-0.748	-2.80456E-8
								-0.75	-2.81736E-8
								-0.75	-2.81978E-8
								-0.748	-2.80895E-8
								-0.746	-2.78667E-8
								-0.744	-2.8089E-8
								-0.742	-2.76875E-8
								-0.74	-2.78663E-8
								-0.738	-2.7781E-8
								-0.736	-2.77064E-8
								-0.734	-2.74549E-8
								-0.732	-2.73426E-8
								-0.73	-2.72017E-8
								-0.728	-2.72694E-8
								-0.726	-2.72235E-8
								-0.724	-2.68108E-8
								-0.722	-2.68266E-8
								-0.72	-2.6602E-8
								-0.718	-2.65684E-8
								-0.716	-2.64125E-8
								-0.714	-2.63545E-8
								-0.712	-2.62862E-8
								-0.71	-2.62368E-8
								-0.708	-2.61519E-8
								-0.706	-2.59737E-8
								-0.704	-2.5739E-8
								-0.702	-2.56457E-8
								-0.7	-2.54735E-8
								-0.698	-2.52313E-8
								-0.696	-2.51975E-8
								-0.694	-2.53151E-8
								-0.692	-2.50802E-8
								-0.69	-2.51252E-8
								-0.688	-2.48761E-8
								-0.686	-2.47548E-8
								-0.684	-2.46682E-8
								-0.682	-2.444E-8
								-0.68	-2.44129E-8
								-0.678	-2.43424E-8
								-0.676	-2.41223E-8
								-0.674	-2.41198E-8
								-0.672	-2.40425E-8
								-0.67	-2.37768E-8
								-0.668	-2.36429E-8
								-0.666	-2.35972E-8
								-0.664	-2.34271E-8
								-0.662	-2.33419E-8
								-0.66	-2.33295E-8
								-0.658	-2.27454E-8
								-0.656	-2.25867E-8
								-0.654	-2.25288E-8
								-0.652	-2.23236E-8
								-0.65	-2.20972E-8
								-0.648	-2.17862E-8
								-0.646	-2.16353E-8
								-0.644	-2.16498E-8
								-0.642	-2.16053E-8
								-0.64	-2.15765E-8
								-0.638	-2.14106E-8
								-0.636	-2.14514E-8
								-0.634	-2.12971E-8
								-0.632	-2.11062E-8
								-0.63	-2.10824E-8
								-0.628	-2.08881E-8
								-0.626	-2.078E-8
								-0.624	-2.06246E-8
								-0.622	-2.05349E-8
								-0.62	-2.04809E-8
								-0.618	-2.0375E-8
								-0.616	-2.02744E-8
								-0.614	-2.00298E-8
								-0.612	-2.01473E-8
								-0.61	-1.98129E-8
								-0.608	-1.97333E-8
								-0.606	-1.96388E-8
								-0.604	-1.95867E-8
								-0.602	-1.95966E-8
								-0.6	-1.92822E-8
								-0.598	-1.92348E-8
								-0.596	-1.89717E-8
								-0.594	-1.8879E-8
								-0.592	-1.86874E-8
								-0.59	-1.86491E-8
								-0.588	-1.85667E-8
								-0.586	-1.85956E-8
								-0.584	-1.86246E-8
								-0.582	-1.85681E-8
								-0.58	-1.84424E-8
								-0.578	-1.83052E-8
								-0.576	-1.82211E-8
								-0.574	-1.80859E-8
								-0.572	-1.77706E-8
								-0.57	-1.77683E-8
								-0.568	-1.7671E-8
								-0.566	-1.75153E-8
								-0.564	-1.75191E-8
								-0.562	-1.735E-8
								-0.56	-1.73247E-8
								-0.558	-1.71014E-8
								-0.556	-1.71089E-8
								-0.554	-1.70461E-8
								-0.552	-1.68449E-8
								-0.55	-1.67913E-8
								-0.548	-1.65689E-8
								-0.546	-1.66083E-8
								-0.544	-1.64932E-8
								-0.542	-1.63227E-8
								-0.54	-1.62017E-8
								-0.538	-1.60319E-8
								-0.536	-1.59617E-8
								-0.534	-1.59133E-8
								-0.532	-1.57623E-8
								-0.53	-1.56231E-8
								-0.528	-1.56524E-8
								-0.526	-1.5491E-8
								-0.524	-1.54082E-8
								-0.522	-1.53562E-8
								-0.52	-1.52536E-8
								-0.518	-1.51025E-8
								-0.516	-1.50318E-8
								-0.514	-1.4861E-8
								-0.512	-1.47139E-8
								-0.51	-1.46777E-8
								-0.508	-1.45362E-8
								-0.506	-1.45499E-8
								-0.504	-1.44633E-8
								-0.502	-1.44288E-8
								-0.5	-1.42484E-8
								-0.498	-1.41579E-8
								-0.496	-1.40504E-8
								-0.494	-1.41168E-8
								-0.492	-1.39842E-8
								-0.49	-1.38792E-8
								-0.488	-1.37457E-8
								-0.486	-1.36177E-8
								-0.484	-1.35764E-8
								-0.482	-1.34124E-8
								-0.48	-1.33902E-8
								-0.478	-1.32925E-8
								-0.476	-1.32177E-8
								-0.474	-1.31277E-8
								-0.472	-1.3104E-8
								-0.47	-1.29144E-8
								-0.468	-1.28787E-8
								-0.466	-1.2791E-8
								-0.464	-1.27414E-8
								-0.462	-1.26411E-8
								-0.46	-1.25192E-8
								-0.458	-1.24122E-8
								-0.456	-1.23798E-8
								-0.454	-1.22978E-8
								-0.452	-1.22632E-8
								-0.45	-1.21336E-8
								-0.448	-1.20292E-8
								-0.446	-1.19703E-8
								-0.444	-1.18709E-8
								-0.442	-1.18016E-8
								-0.44	-1.17144E-8
								-0.438	-1.15815E-8
								-0.436	-1.15198E-8
								-0.434	-1.14994E-8
								-0.432	-1.13464E-8
								-0.43	-1.12992E-8
								-0.428	-1.1222E-8
								-0.426	-1.11066E-8
								-0.424	-1.10715E-8
								-0.422	-1.09758E-8
								-0.42	-1.08789E-8
								-0.418	-1.0797E-8
								-0.416	-1.07198E-8
								-0.414	-1.06845E-8
								-0.412	-1.05276E-8
								-0.41	-1.04092E-8
								-0.408	-1.03585E-8
								-0.406	-1.03346E-8
								-0.404	-1.02174E-8
								-0.402	-1.02054E-8
								-0.4	-1.01289E-8
								-0.398	-1.00291E-8
								-0.396	-9.96338E-9
								-0.394	-9.84812E-9
								-0.392	-9.73531E-9
								-0.39	-9.65223E-9
								-0.388	-9.55579E-9
								-0.386	-9.51721E-9
								-0.384	-9.39843E-9
								-0.382	-9.35195E-9
								-0.38	-9.23158E-9
								-0.378	-9.15235E-9
								-0.376	-9.07538E-9
								-0.374	-9.00918E-9
								-0.372	-8.89215E-9
								-0.37	-8.77764E-9
								-0.368	-8.71232E-9
								-0.366	-8.66459E-9
								-0.364	-8.55703E-9
								-0.362	-8.48963E-9
								-0.36	-8.41001E-9
								-0.358	-8.32038E-9
								-0.356	-8.2218E-9
								-0.354	-8.16937E-9
								-0.352	-8.11784E-9
								-0.35	-8.03435E-9
								-0.348	-7.9496E-9
								-0.346	-7.89089E-9
								-0.344	-7.83257E-9
								-0.342	-7.74042E-9
								-0.34	-7.66716E-9
								-0.338	-7.5926E-9
								-0.336	-7.5338E-9
								-0.334	-7.46534E-9
								-0.332	-7.38065E-9
								-0.33	-7.34075E-9
								-0.328	-7.26118E-9
								-0.326	-7.20007E-9
								-0.324	-7.12999E-9
								-0.322	-7.09359E-9
								-0.32	-7.03111E-9
								-0.318	-6.95538E-9
								-0.316	-6.8769E-9
								-0.314	-6.80675E-9
								-0.312	-6.74241E-9
								-0.31	-6.66878E-9
								-0.308	-6.59712E-9
								-0.306	-6.54806E-9
								-0.304	-6.48853E-9
								-0.302	-6.41246E-9
								-0.3	-6.36987E-9
								-0.298	-6.29676E-9
								-0.296	-6.22378E-9
								-0.294	-6.14251E-9
								-0.292	-6.1049E-9
								-0.29	-6.00848E-9
								-0.288	-5.94206E-9
								-0.286	-5.87759E-9
								-0.284	-5.77986E-9
								-0.282	-5.73715E-9
								-0.28	-5.66149E-9
								-0.278	-5.57114E-9
								-0.276	-5.49899E-9
								-0.274	-5.44239E-9
								-0.272	-5.31459E-9
								-0.27	-4.98063E-9
								-0.268	-4.90998E-9
								-0.266	-4.76684E-9
								-0.264	-4.72632E-9
								-0.262	-4.69141E-9
								-0.26	-4.64587E-9
								-0.258	-4.61008E-9
								-0.256	-4.56839E-9
								-0.254	-4.51663E-9
								-0.252	-4.50353E-9
								-0.25	-4.47401E-9
								-0.248	-4.41757E-9
								-0.246	-4.38648E-9
								-0.244	-4.33002E-9
								-0.242	-4.28038E-9
								-0.24	-4.24604E-9
								-0.238	-4.19515E-9
								-0.236	-4.13653E-9
								-0.234	-4.08607E-9
								-0.232	-4.03915E-9
								-0.23	-3.98666E-9
								-0.228	-3.93928E-9
								-0.226	-3.88769E-9
								-0.224	-3.84273E-9
								-0.222	-3.7913E-9
								-0.22	-3.75166E-9
								-0.218	-3.68772E-9
								-0.216	-3.63809E-9
								-0.214	-3.60304E-9
								-0.212	-3.56251E-9
								-0.21	-3.51051E-9
								-0.208	-3.46879E-9
								-0.206	-3.41228E-9
								-0.204	-3.36295E-9
								-0.202	-3.32467E-9
								-0.2	-3.27544E-9
								-0.198	-3.23235E-9
								-0.196	-3.1891E-9
								-0.194	-3.13744E-9
								-0.192	-3.10418E-9
								-0.19	-3.05046E-9
								-0.188	-3.01406E-9
								-0.186	-2.96177E-9
								-0.184	-2.92052E-9
								-0.182	-2.88101E-9
								-0.18	-2.83588E-9
								-0.178	-2.80028E-9
								-0.176	-2.76753E-9
								-0.174	-2.72867E-9
								-0.172	-2.67718E-9
								-0.17	-2.63034E-9
								-0.168	-2.58916E-9
