E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A
	1 mHz		9 mHz		81 mHz		95 mHz		112 mHz

-0.12	-8.40032E-9								
-0.118	-8.08692E-9								
-0.116	-7.77245E-9								
-0.114	-7.46095E-9								
-0.112	-7.18844E-9								
-0.11	-6.89876E-9								
-0.108	-6.61921E-9								
-0.106	-6.34682E-9								
-0.104	-6.04296E-9								
-0.102	-5.75054E-9								
-0.1	-5.40745E-9								
-0.098	-5.04541E-9								
-0.096	-4.61781E-9								
-0.094	-4.20594E-9								
-0.092	-3.72565E-9								
-0.09	-3.31461E-9								
-0.088	-3.08466E-9								
-0.086	-2.87998E-9								
-0.084	-2.70188E-9								
-0.082	-2.53224E-9								
-0.08	-2.35438E-9								
-0.078	-2.20764E-9								
-0.076	-2.07925E-9								
-0.074	-1.94943E-9								
-0.072	-1.83797E-9								
-0.07	-1.74272E-9								
-0.068	-1.64139E-9								
-0.066	-1.55926E-9								
-0.064	-1.46997E-9								
-0.062	-1.38271E-9								
-0.06	-1.29151E-9								
-0.058	-1.20461E-9								
-0.056	-1.13702E-9								
-0.054	-1.07634E-9								
-0.052	-1.02031E-9								
-0.05	-9.62019E-10								
-0.048	-9.07421E-10								
-0.046	-8.52942E-10								
-0.044	-8.01802E-10								
-0.042	-7.59125E-10								
-0.04	-7.10964E-10								
-0.038	-6.6483E-10								
-0.036	-6.23822E-10								
-0.034	-5.83887E-10								
-0.032	-5.40137E-10								
-0.03	-4.99964E-10								
-0.028	-4.63486E-10								
-0.026	-4.19021E-10								
-0.024	-3.96848E-10								
-0.022	-3.49283E-10								
-0.02	-3.24726E-10								
-0.018	-2.90751E-10								
-0.016	-2.49147E-10								
-0.014	-2.26498E-10								
-0.012	-1.9455E-10								
-0.01	-1.59383E-10								
-0.008	-1.26719E-10								
-0.006	-1.03712E-10								
-0.004	-7.25985E-11								
-0.002	-4.73261E-11								
0	-8.82149E-12								
