E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A
	1 mHz		9 mHz		81 mHz		95 mHz		112 mHz

0.152	2.06554E-9	0.05	4.06837E-10						
0.154	2.10249E-9	0.04	2.88403E-10						
0.156	2.16305E-9	0.03	1.9201E-10						
0.158	2.24149E-9	0.02	1.16265E-10						
0.16	2.30992E-9	0.01	5.34058E-11						
0.162	2.39527E-9	0	-1.16825E-12						
0.164	2.47204E-9	-0.01	-5.27143E-11						
0.166	2.53844E-9	-0.02	-1.02448E-10						
0.168	2.64013E-9	-0.03	-1.51241E-10						
0.17	2.74241E-9	-0.04	-2.00403E-10						
0.172	2.96485E-9	-0.05	-2.53379E-10						
0.174	3.75474E-9	-0.06	-3.09777E-10						
0.176	3.92055E-9	-0.07	-3.71122E-10						
0.178	4.10557E-9	-0.08	-4.41217E-10						
0.18	4.27341E-9	-0.09	-5.18954E-10						
0.182	4.47583E-9	-0.1	-6.09911E-10						
0.184	4.76706E-9	-0.11	-7.15745E-10						
0.186	4.57227E-9	-0.12	-8.44359E-10						
0.188	4.71139E-9	-0.13	-1.00281E-9						
0.19	4.87041E-9	-0.14	-1.20107E-9						
0.192	5.03242E-9	-0.15	-1.45566E-9						
0.194	5.1775E-9	-0.16	-1.82072E-9						
0.196	5.32341E-9	-0.17	-2.7696E-9						
0.198	5.5114E-9	-0.18	-3.80318E-9						
0.2	5.68378E-9	-0.19	-4.60224E-9						
0.202	5.8583E-9	-0.2	-5.49085E-9						
0.204	6.06E-9	-0.21	-7.23863E-9						
0.206	6.23345E-9	-0.22	-9.26206E-9						
0.208	6.4131E-9	-0.23	-1.10974E-8						
0.21	6.59478E-9	-0.24	-1.36642E-8						
0.212	6.79207E-9	-0.25	-1.57859E-8						
0.214	7.00653E-9	-0.26	-1.91236E-8						
0.216	7.2242E-9	-0.27	-2.16287E-8						
0.218	7.46787E-9	-0.28	-2.43263E-8						
0.22	7.77781E-9	-0.29	-2.84824E-8						
0.222	8.49593E-9	-0.3	-3.15424E-8						
0.224	9.24945E-9	-0.31	-3.4504E-8						
0.226	9.74941E-9	-0.32	-3.77572E-8						
0.228	1.02453E-8	-0.33	-4.07581E-8						
0.23	1.95531E-8	-0.34	-4.39367E-8						
0.232	1.954E-8	-0.35	-4.76548E-8						
0.234	2.06677E-8	-0.36	-5.15993E-8						
0.236	2.16271E-8	-0.37	-5.55117E-8						
0.238	2.26215E-8	-0.38	-5.95668E-8						
0.24	2.35748E-8	-0.39	-6.3506E-8						
0.242	2.44159E-8	-0.4	-6.79273E-8						
0.244	2.51793E-8	-0.4	-6.88928E-8						
0.246	2.58635E-8	-0.39	-6.63324E-8						
0.248	2.65839E-8	-0.38	-6.34638E-8						
0.25	2.73553E-8	-0.37	-6.04184E-8						
0.252	2.80573E-8	-0.36	-5.72992E-8						
0.254	2.87946E-8	-0.35	-5.41617E-8						
0.256	2.95486E-8	-0.34	-5.08671E-8						
0.258	3.03141E-8	-0.33	-4.76609E-8						
0.26	3.10415E-8	-0.32	-4.41365E-8						
0.262	3.18035E-8	-0.31	-4.07601E-8						
0.264	3.25186E-8	-0.3	-3.79711E-8						
0.266	3.3326E-8	-0.29	-3.54555E-8						
0.268	3.40602E-8	-0.28	-3.2984E-8						
0.27	3.48268E-8	-0.27	-3.06396E-8						
0.272	3.5585E-8	-0.26	-2.82356E-8						
0.274	3.64388E-8	-0.25	-2.5963E-8						
0.276	3.73981E-8	-0.24	-2.3837E-8						
0.278	3.8337E-8	-0.23	-2.17421E-8						
0.28	3.95485E-8	-0.22	-1.97088E-8						
0.282	4.15567E-8	-0.21	-1.77516E-8						
0.284	4.35613E-8	-0.2	-1.58273E-8						
0.286	4.47464E-8	-0.19	-1.40999E-8						
0.288	4.91213E-8	-0.18	-1.25845E-8						
0.29	5.07666E-8	-0.17	-1.12017E-8						
0.292	5.2193E-8	-0.16	-9.85521E-9						
0.294	5.34718E-8	-0.15	-8.64555E-9						
0.296	5.48487E-8	-0.14	-7.48831E-9						
0.298	5.61253E-8	-0.13	-6.35327E-9						
0.3	5.74144E-8	-0.12	-5.31107E-9						
0.302	5.86371E-8	-0.11	-4.35071E-9						
0.304	5.99509E-8	-0.1	-3.27976E-9						
0.306	6.09271E-8	-0.09	-2.25672E-9						
0.308	6.21768E-8	-0.08	-1.67512E-9						
0.31	6.34047E-8	-0.07	-1.19843E-9						
0.312	6.46036E-8	-0.06	-8.3642E-10						
0.314	6.57872E-8	-0.05	-5.69773E-10						
0.316	6.7077E-8	-0.04	-3.78454E-10						
0.318	6.81027E-8	-0.03	-2.437E-10						
0.32	6.91888E-8	-0.02	-1.46496E-10						
0.322	7.04271E-8	-0.01	-6.4218E-11						
0.324	7.16929E-8	0	7.05719E-12						
0.326	7.27968E-8								
0.328	7.38975E-8								
0.33	7.51865E-8								
0.332	7.6598E-8								
0.334	7.83148E-8								
0.336	8.19E-8								
0.338	8.27256E-8								
0.34	8.35615E-8								
0.342	8.4517E-8								
0.344	8.57041E-8								
0.346	8.69088E-8								
0.348	8.77607E-8								
0.35	8.88207E-8								
