Filename,Voltage (V),Current (A)
新建 Microsoft Excel 工作表.xlsx,0.09602,1.93224e-09
新建 Microsoft Excel 工作表.xlsx,0.09602,1.93224e-09
新建 Microsoft Excel 工作表.xlsx,0.09802,1.96526e-09
新建 Microsoft Excel 工作表.xlsx,0.09802,1.96526e-09
新建 Microsoft Excel 工作表.xlsx,0.10003,1.99652e-09
新建 Microsoft Excel 工作表.xlsx,0.10003,1.99652e-09
新建 Microsoft Excel 工作表.xlsx,0.10203,2.04494e-09
新建 Microsoft Excel 工作表.xlsx,0.10203,2.04494e-09
新建 Microsoft Excel 工作表.xlsx,0.10402,2.07546e-09
新建 Microsoft Excel 工作表.xlsx,0.10402,2.07546e-09
新建 Microsoft Excel 工作表.xlsx,0.10602,2.09581e-09
新建 Microsoft Excel 工作表.xlsx,0.10602,2.09581e-09
新建 Microsoft Excel 工作表.xlsx,0.10802,2.1265e-09
新建 Microsoft Excel 工作表.xlsx,0.10802,2.1265e-09
新建 Microsoft Excel 工作表.xlsx,0.11002,2.16279e-09
新建 Microsoft Excel 工作表.xlsx,0.11002,2.16279e-09
新建 Microsoft Excel 工作表.xlsx,0.11202,2.19006e-09
新建 Microsoft Excel 工作表.xlsx,0.11202,2.19006e-09
新建 Microsoft Excel 工作表.xlsx,0.11403,2.23561e-09
新建 Microsoft Excel 工作表.xlsx,0.11403,2.23561e-09
新建 Microsoft Excel 工作表.xlsx,0.11603,2.26111e-09
新建 Microsoft Excel 工作表.xlsx,0.11603,2.26111e-09
新建 Microsoft Excel 工作表.xlsx,0.11802,2.29079e-09
新建 Microsoft Excel 工作表.xlsx,0.11802,2.29079e-09
新建 Microsoft Excel 工作表.xlsx,0.12002,2.32416e-09
新建 Microsoft Excel 工作表.xlsx,0.12002,2.32416e-09
新建 Microsoft Excel 工作表.xlsx,0.12202,2.35469e-09
新建 Microsoft Excel 工作表.xlsx,0.12202,2.35469e-09
新建 Microsoft Excel 工作表.xlsx,0.12402,2.39178e-09
新建 Microsoft Excel 工作表.xlsx,0.12402,2.39178e-09
新建 Microsoft Excel 工作表.xlsx,0.12602,2.42392e-09
新建 Microsoft Excel 工作表.xlsx,0.12602,2.42392e-09
新建 Microsoft Excel 工作表.xlsx,0.12802,2.44838e-09
新建 Microsoft Excel 工作表.xlsx,0.12802,2.44838e-09
新建 Microsoft Excel 工作表.xlsx,0.13002,2.46978e-09
新建 Microsoft Excel 工作表.xlsx,0.13002,2.46978e-09
新建 Microsoft Excel 工作表.xlsx,0.13202,2.50375e-09
新建 Microsoft Excel 工作表.xlsx,0.13202,2.50375e-09
新建 Microsoft Excel 工作表.xlsx,0.13402,2.54039e-09
新建 Microsoft Excel 工作表.xlsx,0.13402,2.54039e-09
新建 Microsoft Excel 工作表.xlsx,0.13602,2.54514e-09
新建 Microsoft Excel 工作表.xlsx,0.13602,2.54514e-09
新建 Microsoft Excel 工作表.xlsx,0.13802,2.58717e-09
新建 Microsoft Excel 工作表.xlsx,0.13802,2.58717e-09
新建 Microsoft Excel 工作表.xlsx,0.14002,2.60866e-09
新建 Microsoft Excel 工作表.xlsx,0.14002,2.60866e-09
新建 Microsoft Excel 工作表.xlsx,0.14202,2.6396e-09
新建 Microsoft Excel 工作表.xlsx,0.14202,2.6396e-09
新建 Microsoft Excel 工作表.xlsx,0.14403,2.66521e-09
新建 Microsoft Excel 工作表.xlsx,0.14403,2.66521e-09
新建 Microsoft Excel 工作表.xlsx,0.14603,2.69462e-09
新建 Microsoft Excel 工作表.xlsx,0.14603,2.69462e-09
新建 Microsoft Excel 工作表.xlsx,0.14803,2.73397e-09
新建 Microsoft Excel 工作表.xlsx,0.14803,2.73397e-09
新建 Microsoft Excel 工作表.xlsx,0.15003,2.74233e-09
新建 Microsoft Excel 工作表.xlsx,0.15003,2.74233e-09
新建 Microsoft Excel 工作表.xlsx,0.15203,2.76957e-09
新建 Microsoft Excel 工作表.xlsx,0.15203,2.76957e-09
新建 Microsoft Excel 工作表.xlsx,0.15402,2.79633e-09
新建 Microsoft Excel 工作表.xlsx,0.15402,2.79633e-09
新建 Microsoft Excel 工作表.xlsx,0.15602,2.81337e-09
新建 Microsoft Excel 工作表.xlsx,0.15602,2.81337e-09
新建 Microsoft Excel 工作表.xlsx,0.15802,2.83271e-09
新建 Microsoft Excel 工作表.xlsx,0.15802,2.83271e-09
新建 Microsoft Excel 工作表.xlsx,0.16002,2.86085e-09
新建 Microsoft Excel 工作表.xlsx,0.16002,2.86085e-09
新建 Microsoft Excel 工作表.xlsx,0.16202,2.85944e-09
新建 Microsoft Excel 工作表.xlsx,0.16202,2.85944e-09
新建 Microsoft Excel 工作表.xlsx,0.16402,2.88102e-09
新建 Microsoft Excel 工作表.xlsx,0.16402,2.88102e-09
新建 Microsoft Excel 工作表.xlsx,0.16602,2.92094e-09
新建 Microsoft Excel 工作表.xlsx,0.16602,2.92094e-09
新建 Microsoft Excel 工作表.xlsx,0.16802,2.94546e-09
新建 Microsoft Excel 工作表.xlsx,0.16802,2.94546e-09
新建 Microsoft Excel 工作表.xlsx,0.17002,2.97227e-09
新建 Microsoft Excel 工作表.xlsx,0.17002,2.97227e-09
新建 Microsoft Excel 工作表.xlsx,0.17202,2.99883e-09
新建 Microsoft Excel 工作表.xlsx,0.17202,2.99883e-09
新建 Microsoft Excel 工作表.xlsx,0.17402,3.00713e-09
新建 Microsoft Excel 工作表.xlsx,0.17402,3.00713e-09
新建 Microsoft Excel 工作表.xlsx,0.17602,3.03685e-09
新建 Microsoft Excel 工作表.xlsx,0.17602,3.03685e-09
新建 Microsoft Excel 工作表.xlsx,0.17802,3.05364e-09
新建 Microsoft Excel 工作表.xlsx,0.17802,3.05364e-09
新建 Microsoft Excel 工作表.xlsx,0.18002,3.0648e-09
新建 Microsoft Excel 工作表.xlsx,0.18002,3.0648e-09
新建 Microsoft Excel 工作表.xlsx,0.18202,3.08537e-09
新建 Microsoft Excel 工作表.xlsx,0.18202,3.08537e-09
新建 Microsoft Excel 工作表.xlsx,0.18402,3.11353e-09
新建 Microsoft Excel 工作表.xlsx,0.18402,3.11353e-09
新建 Microsoft Excel 工作表.xlsx,0.18602,3.13243e-09
新建 Microsoft Excel 工作表.xlsx,0.18602,3.13243e-09
新建 Microsoft Excel 工作表.xlsx,0.18802,3.14162e-09
新建 Microsoft Excel 工作表.xlsx,0.18802,3.14162e-09
新建 Microsoft Excel 工作表.xlsx,0.19002,3.17331e-09
新建 Microsoft Excel 工作表.xlsx,0.19002,3.17331e-09
新建 Microsoft Excel 工作表.xlsx,0.19202,3.19083e-09
新建 Microsoft Excel 工作表.xlsx,0.19202,3.19083e-09
新建 Microsoft Excel 工作表.xlsx,0.19402,3.21892e-09
新建 Microsoft Excel 工作表.xlsx,0.19402,3.21892e-09
新建 Microsoft Excel 工作表.xlsx,0.19603,3.21566e-09
新建 Microsoft Excel 工作表.xlsx,0.19603,3.21566e-09
新建 Microsoft Excel 工作表.xlsx,0.19803,3.24318e-09
新建 Microsoft Excel 工作表.xlsx,0.19803,3.24318e-09
新建 Microsoft Excel 工作表.xlsx,0.20003,3.27869e-09
新建 Microsoft Excel 工作表.xlsx,0.20003,3.27869e-09
新建 Microsoft Excel 工作表.xlsx,0.20198,3.30079e-09
新建 Microsoft Excel 工作表.xlsx,0.20198,3.30079e-09
新建 Microsoft Excel 工作表.xlsx,0.20399,3.32189e-09
新建 Microsoft Excel 工作表.xlsx,0.20399,3.32189e-09
新建 Microsoft Excel 工作表.xlsx,0.20598,3.35151e-09
新建 Microsoft Excel 工作表.xlsx,0.20598,3.35151e-09
新建 Microsoft Excel 工作表.xlsx,0.20799,3.36141e-09
新建 Microsoft Excel 工作表.xlsx,0.20799,3.36141e-09
新建 Microsoft Excel 工作表.xlsx,0.20999,3.38758e-09
新建 Microsoft Excel 工作表.xlsx,0.20999,3.38758e-09
新建 Microsoft Excel 工作表.xlsx,0.21199,3.39278e-09
新建 Microsoft Excel 工作表.xlsx,0.21199,3.39278e-09
新建 Microsoft Excel 工作表.xlsx,0.21399,3.40176e-09
新建 Microsoft Excel 工作表.xlsx,0.21399,3.40176e-09
新建 Microsoft Excel 工作表.xlsx,0.21599,3.4204e-09
新建 Microsoft Excel 工作表.xlsx,0.21599,3.4204e-09
新建 Microsoft Excel 工作表.xlsx,0.218,3.43087e-09
新建 Microsoft Excel 工作表.xlsx,0.218,3.43087e-09
新建 Microsoft Excel 工作表.xlsx,0.22,3.43321e-09
新建 Microsoft Excel 工作表.xlsx,0.22,3.43321e-09
新建 Microsoft Excel 工作表.xlsx,0.22201,3.43411e-09
新建 Microsoft Excel 工作表.xlsx,0.22201,3.43411e-09
新建 Microsoft Excel 工作表.xlsx,0.22398,3.43899e-09
新建 Microsoft Excel 工作表.xlsx,0.22398,3.43899e-09
新建 Microsoft Excel 工作表.xlsx,0.22598,3.48515e-09
新建 Microsoft Excel 工作表.xlsx,0.22598,3.48515e-09
新建 Microsoft Excel 工作表.xlsx,0.22798,3.47509e-09
新建 Microsoft Excel 工作表.xlsx,0.22798,3.47509e-09
新建 Microsoft Excel 工作表.xlsx,0.22998,3.48319e-09
新建 Microsoft Excel 工作表.xlsx,0.22998,3.48319e-09
新建 Microsoft Excel 工作表.xlsx,0.23199,3.49389e-09
新建 Microsoft Excel 工作表.xlsx,0.23199,3.49389e-09
新建 Microsoft Excel 工作表.xlsx,0.23399,3.51194e-09
新建 Microsoft Excel 工作表.xlsx,0.23399,3.51194e-09
新建 Microsoft Excel 工作表.xlsx,0.23599,3.53634e-09
新建 Microsoft Excel 工作表.xlsx,0.23599,3.53634e-09
新建 Microsoft Excel 工作表.xlsx,0.238,3.55082e-09
新建 Microsoft Excel 工作表.xlsx,0.238,3.55082e-09
新建 Microsoft Excel 工作表.xlsx,0.24,3.56056e-09
新建 Microsoft Excel 工作表.xlsx,0.24,3.56056e-09
新建 Microsoft Excel 工作表.xlsx,0.24201,3.58141e-09
新建 Microsoft Excel 工作表.xlsx,0.24201,3.58141e-09
新建 Microsoft Excel 工作表.xlsx,0.24401,3.5822e-09
新建 Microsoft Excel 工作表.xlsx,0.24401,3.5822e-09
新建 Microsoft Excel 工作表.xlsx,0.24598,3.6151e-09
新建 Microsoft Excel 工作表.xlsx,0.24598,3.6151e-09
新建 Microsoft Excel 工作表.xlsx,0.24798,3.62161e-09
新建 Microsoft Excel 工作表.xlsx,0.24798,3.62161e-09
新建 Microsoft Excel 工作表.xlsx,0.24998,3.62825e-09
新建 Microsoft Excel 工作表.xlsx,0.24998,3.62825e-09
新建 Microsoft Excel 工作表.xlsx,0.24998,3.62461e-09
新建 Microsoft Excel 工作表.xlsx,0.24998,3.62461e-09
新建 Microsoft Excel 工作表.xlsx,0.24798,3.58117e-09
新建 Microsoft Excel 工作表.xlsx,0.24798,3.58117e-09
新建 Microsoft Excel 工作表.xlsx,0.24598,3.54805e-09
新建 Microsoft Excel 工作表.xlsx,0.24598,3.54805e-09
新建 Microsoft Excel 工作表.xlsx,0.24401,3.51556e-09
新建 Microsoft Excel 工作表.xlsx,0.24401,3.51556e-09
新建 Microsoft Excel 工作表.xlsx,0.242,3.49778e-09
新建 Microsoft Excel 工作表.xlsx,0.242,3.49778e-09
新建 Microsoft Excel 工作表.xlsx,0.23999,3.45498e-09
新建 Microsoft Excel 工作表.xlsx,0.23999,3.45498e-09
新建 Microsoft Excel 工作表.xlsx,0.23799,3.42231e-09
新建 Microsoft Excel 工作表.xlsx,0.23799,3.42231e-09
新建 Microsoft Excel 工作表.xlsx,0.23598,3.39116e-09
新建 Microsoft Excel 工作表.xlsx,0.23598,3.39116e-09
新建 Microsoft Excel 工作表.xlsx,0.23398,3.35919e-09
新建 Microsoft Excel 工作表.xlsx,0.23398,3.35919e-09
新建 Microsoft Excel 工作表.xlsx,0.23198,3.33576e-09
新建 Microsoft Excel 工作表.xlsx,0.23198,3.33576e-09
新建 Microsoft Excel 工作表.xlsx,0.22997,3.30321e-09
新建 Microsoft Excel 工作表.xlsx,0.22997,3.30321e-09
新建 Microsoft Excel 工作表.xlsx,0.22798,3.27548e-09
新建 Microsoft Excel 工作表.xlsx,0.22798,3.27548e-09
新建 Microsoft Excel 工作表.xlsx,0.22598,3.24947e-09
新建 Microsoft Excel 工作表.xlsx,0.22598,3.24947e-09
新建 Microsoft Excel 工作表.xlsx,0.22397,3.21878e-09
新建 Microsoft Excel 工作表.xlsx,0.22397,3.21878e-09
新建 Microsoft Excel 工作表.xlsx,0.222,3.1839e-09
新建 Microsoft Excel 工作表.xlsx,0.222,3.1839e-09
新建 Microsoft Excel 工作表.xlsx,0.22,3.17239e-09
新建 Microsoft Excel 工作表.xlsx,0.22,3.17239e-09
新建 Microsoft Excel 工作表.xlsx,0.218,3.14417e-09
新建 Microsoft Excel 工作表.xlsx,0.218,3.14417e-09
新建 Microsoft Excel 工作表.xlsx,0.216,3.12454e-09
新建 Microsoft Excel 工作表.xlsx,0.216,3.12454e-09
新建 Microsoft Excel 工作表.xlsx,0.214,3.09839e-09
新建 Microsoft Excel 工作表.xlsx,0.214,3.09839e-09
新建 Microsoft Excel 工作表.xlsx,0.21199,3.06651e-09
新建 Microsoft Excel 工作表.xlsx,0.21199,3.06651e-09
新建 Microsoft Excel 工作表.xlsx,0.20999,3.02948e-09
新建 Microsoft Excel 工作表.xlsx,0.20999,3.02948e-09
新建 Microsoft Excel 工作表.xlsx,0.20799,3.00931e-09
新建 Microsoft Excel 工作表.xlsx,0.20799,3.00931e-09
新建 Microsoft Excel 工作表.xlsx,0.20598,2.96722e-09
新建 Microsoft Excel 工作表.xlsx,0.20598,2.96722e-09
新建 Microsoft Excel 工作表.xlsx,0.20397,2.95532e-09
新建 Microsoft Excel 工作表.xlsx,0.20397,2.95532e-09
新建 Microsoft Excel 工作表.xlsx,0.20198,2.92503e-09
新建 Microsoft Excel 工作表.xlsx,0.20198,2.92503e-09
新建 Microsoft Excel 工作表.xlsx,0.20002,2.88734e-09
新建 Microsoft Excel 工作表.xlsx,0.20002,2.88734e-09
新建 Microsoft Excel 工作表.xlsx,0.19803,2.86666e-09
新建 Microsoft Excel 工作表.xlsx,0.19803,2.86666e-09
新建 Microsoft Excel 工作表.xlsx,0.19602,2.83709e-09
新建 Microsoft Excel 工作表.xlsx,0.19602,2.83709e-09
新建 Microsoft Excel 工作表.xlsx,0.19402,2.82102e-09
新建 Microsoft Excel 工作表.xlsx,0.19402,2.82102e-09
新建 Microsoft Excel 工作表.xlsx,0.19202,2.80196e-09
新建 Microsoft Excel 工作表.xlsx,0.19202,2.80196e-09
新建 Microsoft Excel 工作表.xlsx,0.19002,2.78857e-09
新建 Microsoft Excel 工作表.xlsx,0.19002,2.78857e-09
新建 Microsoft Excel 工作表.xlsx,0.18802,2.74079e-09
新建 Microsoft Excel 工作表.xlsx,0.18802,2.74079e-09
新建 Microsoft Excel 工作表.xlsx,0.18602,2.70965e-09
新建 Microsoft Excel 工作表.xlsx,0.18602,2.70965e-09
新建 Microsoft Excel 工作表.xlsx,0.18402,2.68292e-09
新建 Microsoft Excel 工作表.xlsx,0.18402,2.68292e-09
新建 Microsoft Excel 工作表.xlsx,0.18203,2.67624e-09
新建 Microsoft Excel 工作表.xlsx,0.18203,2.67624e-09
新建 Microsoft Excel 工作表.xlsx,0.18002,2.64119e-09
新建 Microsoft Excel 工作表.xlsx,0.18002,2.64119e-09
新建 Microsoft Excel 工作表.xlsx,0.17802,2.62745e-09
新建 Microsoft Excel 工作表.xlsx,0.17802,2.62745e-09
新建 Microsoft Excel 工作表.xlsx,0.17602,2.6001e-09
新建 Microsoft Excel 工作表.xlsx,0.17602,2.6001e-09
新建 Microsoft Excel 工作表.xlsx,0.17402,2.57611e-09
新建 Microsoft Excel 工作表.xlsx,0.17402,2.57611e-09
新建 Microsoft Excel 工作表.xlsx,0.17202,2.53259e-09
新建 Microsoft Excel 工作表.xlsx,0.17202,2.53259e-09
新建 Microsoft Excel 工作表.xlsx,0.17002,2.48832e-09
新建 Microsoft Excel 工作表.xlsx,0.17002,2.48832e-09
新建 Microsoft Excel 工作表.xlsx,0.16802,2.4525e-09
新建 Microsoft Excel 工作表.xlsx,0.16802,2.4525e-09
新建 Microsoft Excel 工作表.xlsx,0.16602,2.43465e-09
新建 Microsoft Excel 工作表.xlsx,0.16602,2.43465e-09
新建 Microsoft Excel 工作表.xlsx,0.16402,2.40308e-09
新建 Microsoft Excel 工作表.xlsx,0.16402,2.40308e-09
新建 Microsoft Excel 工作表.xlsx,0.16202,2.37781e-09
新建 Microsoft Excel 工作表.xlsx,0.16202,2.37781e-09
新建 Microsoft Excel 工作表.xlsx,0.16002,2.36151e-09
新建 Microsoft Excel 工作表.xlsx,0.16002,2.36151e-09
新建 Microsoft Excel 工作表.xlsx,0.15802,2.34396e-09
新建 Microsoft Excel 工作表.xlsx,0.15802,2.34396e-09
新建 Microsoft Excel 工作表.xlsx,0.15602,2.29482e-09
新建 Microsoft Excel 工作表.xlsx,0.15602,2.29482e-09
新建 Microsoft Excel 工作表.xlsx,0.15403,2.28792e-09
新建 Microsoft Excel 工作表.xlsx,0.15403,2.28792e-09
新建 Microsoft Excel 工作表.xlsx,0.15203,2.26921e-09
新建 Microsoft Excel 工作表.xlsx,0.15203,2.26921e-09
新建 Microsoft Excel 工作表.xlsx,0.15003,2.22384e-09
新建 Microsoft Excel 工作表.xlsx,0.15003,2.22384e-09
新建 Microsoft Excel 工作表.xlsx,0.14803,2.20995e-09
新建 Microsoft Excel 工作表.xlsx,0.14803,2.20995e-09
新建 Microsoft Excel 工作表.xlsx,0.14603,2.19878e-09
新建 Microsoft Excel 工作表.xlsx,0.14603,2.19878e-09
新建 Microsoft Excel 工作表.xlsx,0.14403,2.16716e-09
新建 Microsoft Excel 工作表.xlsx,0.14403,2.16716e-09
新建 Microsoft Excel 工作表.xlsx,0.14203,2.1536e-09
新建 Microsoft Excel 工作表.xlsx,0.14203,2.1536e-09
新建 Microsoft Excel 工作表.xlsx,0.14002,2.12477e-09
新建 Microsoft Excel 工作表.xlsx,0.14002,2.12477e-09
新建 Microsoft Excel 工作表.xlsx,0.13802,2.1019e-09
新建 Microsoft Excel 工作表.xlsx,0.13802,2.1019e-09
新建 Microsoft Excel 工作表.xlsx,0.13603,2.08108e-09
新建 Microsoft Excel 工作表.xlsx,0.13603,2.08108e-09
新建 Microsoft Excel 工作表.xlsx,0.13403,2.03515e-09
新建 Microsoft Excel 工作表.xlsx,0.13403,2.03515e-09
新建 Microsoft Excel 工作表.xlsx,0.13202,2.01218e-09
新建 Microsoft Excel 工作表.xlsx,0.13202,2.01218e-09
新建 Microsoft Excel 工作表.xlsx,0.13003,1.98083e-09
新建 Microsoft Excel 工作表.xlsx,0.13003,1.98083e-09
新建 Microsoft Excel 工作表.xlsx,0.12803,1.96513e-09
新建 Microsoft Excel 工作表.xlsx,0.12803,1.96513e-09
新建 Microsoft Excel 工作表.xlsx,0.12603,1.92997e-09
新建 Microsoft Excel 工作表.xlsx,0.12603,1.92997e-09
新建 Microsoft Excel 工作表.xlsx,0.12403,1.91297e-09
新建 Microsoft Excel 工作表.xlsx,0.12403,1.91297e-09
新建 Microsoft Excel 工作表.xlsx,0.12204,1.87394e-09
新建 Microsoft Excel 工作表.xlsx,0.12204,1.87394e-09
新建 Microsoft Excel 工作表.xlsx,0.12004,1.8554e-09
新建 Microsoft Excel 工作表.xlsx,0.12004,1.8554e-09
新建 Microsoft Excel 工作表.xlsx,0.11804,1.82859e-09
新建 Microsoft Excel 工作表.xlsx,0.11804,1.82859e-09
新建 Microsoft Excel 工作表.xlsx,0.11604,1.80628e-09
新建 Microsoft Excel 工作表.xlsx,0.11604,1.80628e-09
新建 Microsoft Excel 工作表.xlsx,0.11403,1.77177e-09
新建 Microsoft Excel 工作表.xlsx,0.11403,1.77177e-09
新建 Microsoft Excel 工作表.xlsx,0.11203,1.7496e-09
新建 Microsoft Excel 工作表.xlsx,0.11203,1.7496e-09
新建 Microsoft Excel 工作表.xlsx,0.11003,1.7315e-09
新建 Microsoft Excel 工作表.xlsx,0.11003,1.7315e-09
新建 Microsoft Excel 工作表.xlsx,0.10803,1.69715e-09
新建 Microsoft Excel 工作表.xlsx,0.10803,1.69715e-09
