Potential	Current	E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A	V	A
	3.2 mHz		8 mHz		16 mHz		32.5 mHz		73.5 mHz		165 mHz
0.09602	1.93224E-9	0.24002	3.80096E-9	0.03001	5.94795E-10	-0.09616	-2.65188E-9				
0.09802	1.96526E-9	0.24499	3.84718E-9	0.02001	3.86822E-10	-0.07693	-2.11704E-9				
0.10003	1.99652E-9	0.24999	3.88847E-9	0.01001	1.73068E-10	-0.0577	-1.57822E-9				
0.10203	2.04494E-9	0.24999	3.86397E-9	9.13143E-6	-4.251E-11	-0.03847	-1.05048E-9				
0.10402	2.07546E-9	0.24498	3.77313E-9	-0.01001	-2.61343E-10	-0.01924	-5.35166E-10				
0.10602	2.09581E-9	0.24001	3.69167E-9	-0.02001	-4.87387E-10	1.95265E-5	-3.08394E-11				
0.10802	2.1265E-9	0.23499	3.59559E-9	-0.03001	-7.16257E-10						
0.11002	2.16279E-9	0.22998	3.49765E-9	-0.04001	-9.44507E-10						
0.11202	2.19006E-9	0.22498	3.41897E-9	-0.05	-1.18138E-9						
0.11403	2.23561E-9	0.22001	3.34637E-9	-0.06	-1.42398E-9						
0.11603	2.26111E-9	0.215	3.27354E-9	-0.07	-1.65975E-9						
0.11802	2.29079E-9	0.20999	3.17484E-9	-0.08	-1.91561E-9						
0.12002	2.32416E-9	0.20499	3.12096E-9	-0.09	-2.16795E-9						
0.12202	2.35469E-9	0.20002	3.02441E-9	-0.1	-2.43969E-9						
0.12402	2.39178E-9	0.19502	2.95598E-9	-0.11	-2.69105E-9						
0.12602	2.42392E-9	0.19002	2.89969E-9	-0.12	-2.9574E-9						
0.12802	2.44838E-9	0.18502	2.81608E-9	-0.13	-3.24279E-9						
0.13002	2.46978E-9	0.18002	2.74995E-9	-0.14	-3.52614E-9						
0.13202	2.50375E-9	0.17502	2.69937E-9	-0.15	-3.80771E-9						
0.13402	2.54039E-9	0.17002	2.60875E-9	-0.16	-4.09211E-9						
0.13602	2.54514E-9	0.16503	2.55753E-9	-0.17	-4.38297E-9						
0.13802	2.58717E-9	0.16003	2.48291E-9	-0.18	-4.67391E-9						
0.14002	2.60866E-9	0.15502	2.40637E-9	-0.19	-4.99557E-9						
0.14202	2.6396E-9	0.15003	2.33001E-9	-0.2	-5.31496E-9						
0.14403	2.66521E-9	0.14502	2.2478E-9	-0.20999	-5.6548E-9						
0.14603	2.69462E-9	0.14003	2.18195E-9	-0.22	-6.00498E-9						
0.14803	2.73397E-9	0.13502	2.11724E-9	-0.22998	-6.37119E-9						
0.15003	2.74233E-9	0.13002	2.04367E-9	-0.24001	-6.7349E-9						
0.15203	2.76957E-9	0.12503	1.96805E-9	-0.24999	-7.07961E-9						
0.15402	2.79633E-9	0.12003	1.90487E-9	-0.24999	-7.10936E-9						
0.15602	2.81337E-9	0.11503	1.83645E-9	-0.24001	-6.86197E-9						
0.15802	2.83271E-9	0.11003	1.76128E-9	-0.22998	-6.60704E-9						
0.16002	2.86085E-9	0.10503	1.7047E-9	-0.22001	-6.32139E-9						
0.16202	2.85944E-9	0.10003	1.61415E-9	-0.20999	-6.01622E-9						
0.16402	2.88102E-9	0.09504	1.53802E-9	-0.20001	-5.71866E-9						
0.16602	2.92094E-9	0.09003	1.47257E-9	-0.19	-5.43486E-9						
0.16802	2.94546E-9	0.08503	1.39421E-9	-0.18	-5.12943E-9						
0.17002	2.97227E-9	0.08003	1.32594E-9	-0.17	-4.83117E-9						
0.17202	2.99883E-9	0.07502	1.23911E-9	-0.16001	-4.53217E-9						
0.17402	3.00713E-9	0.07003	1.16528E-9	-0.15001	-4.22156E-9						
0.17602	3.03685E-9	0.06503	1.08668E-9	-0.14	-3.92909E-9						
0.17802	3.05364E-9	0.06003	1.01013E-9	-0.13	-3.62432E-9						
0.18002	3.0648E-9	0.05503	9.25992E-10	-0.12	-3.34134E-9						
0.18202	3.08537E-9	0.05003	8.45847E-10	-0.11	-3.05526E-9						
0.18402	3.11353E-9	0.04503	7.63253E-10	-0.1	-2.76357E-9						
0.18602	3.13243E-9	0.04003	6.76854E-10	-0.09	-2.47778E-9						
0.18802	3.14162E-9	0.03503	5.95354E-10	-0.08001	-2.19182E-9						
0.19002	3.17331E-9	0.03002	5.09959E-10	-0.07001	-1.90997E-9						
0.19202	3.19083E-9	0.02502	4.22602E-10	-0.06001	-1.64384E-9						
0.19402	3.21892E-9	0.02003	3.35474E-10	-0.05002	-1.36584E-9						
0.19603	3.21566E-9	0.01503	2.45813E-10	-0.04001	-1.09364E-9						
0.19803	3.24318E-9	0.01003	1.5672E-10	-0.03001	-8.24416E-10						
0.20003	3.27869E-9	0.00503	6.48057E-11	-0.02001	-5.55634E-10						
0.20198	3.30079E-9	2.87533E-5	-2.82204E-11	-0.01001	-2.92385E-10						
0.20399	3.32189E-9	-0.00499	-1.22501E-10	1.12772E-5	-3.33786E-11						
0.20598	3.35151E-9	-0.00999	-2.18441E-10								
