Filename,Voltage (V),Current (A)
s8a 1mhz.xlsx,0.30498,1.5416e-09
s8a 1mhz.xlsx,0.30498,1.5416e-09
s8a 1mhz.xlsx,0.30999,1.55746e-09
s8a 1mhz.xlsx,0.30999,1.55746e-09
s8a 1mhz.xlsx,0.31496,1.57719e-09
s8a 1mhz.xlsx,0.31496,1.57719e-09
s8a 1mhz.xlsx,0.31997,1.5898e-09
s8a 1mhz.xlsx,0.31997,1.5898e-09
s8a 1mhz.xlsx,0.32498,1.61176e-09
s8a 1mhz.xlsx,0.32498,1.61176e-09
s8a 1mhz.xlsx,0.32999,1.62321e-09
s8a 1mhz.xlsx,0.32999,1.62321e-09
s8a 1mhz.xlsx,0.33496,1.6438e-09
s8a 1mhz.xlsx,0.33496,1.6438e-09
s8a 1mhz.xlsx,0.33997,1.66175e-09
s8a 1mhz.xlsx,0.33997,1.66175e-09
s8a 1mhz.xlsx,0.34498,1.67656e-09
s8a 1mhz.xlsx,0.34498,1.67656e-09
s8a 1mhz.xlsx,0.35,1.6863e-09
s8a 1mhz.xlsx,0.35,1.6863e-09
s8a 1mhz.xlsx,0.355,1.70207e-09
s8a 1mhz.xlsx,0.355,1.70207e-09
s8a 1mhz.xlsx,0.35997,1.71646e-09
s8a 1mhz.xlsx,0.35997,1.71646e-09
s8a 1mhz.xlsx,0.36497,1.73339e-09
s8a 1mhz.xlsx,0.36497,1.73339e-09
s8a 1mhz.xlsx,0.36999,1.74708e-09
s8a 1mhz.xlsx,0.36999,1.74708e-09
s8a 1mhz.xlsx,0.375,1.75697e-09
s8a 1mhz.xlsx,0.375,1.75697e-09
s8a 1mhz.xlsx,0.37997,1.76951e-09
s8a 1mhz.xlsx,0.37997,1.76951e-09
s8a 1mhz.xlsx,0.38498,1.78666e-09
s8a 1mhz.xlsx,0.38498,1.78666e-09
s8a 1mhz.xlsx,0.38999,1.79617e-09
s8a 1mhz.xlsx,0.38999,1.79617e-09
s8a 1mhz.xlsx,0.39499,1.80628e-09
s8a 1mhz.xlsx,0.39499,1.80628e-09
s8a 1mhz.xlsx,0.39997,1.81562e-09
s8a 1mhz.xlsx,0.39997,1.81562e-09
s8a 1mhz.xlsx,0.40498,1.83485e-09
s8a 1mhz.xlsx,0.40498,1.83485e-09
s8a 1mhz.xlsx,0.40999,1.84075e-09
s8a 1mhz.xlsx,0.40999,1.84075e-09
s8a 1mhz.xlsx,0.41499,1.84634e-09
s8a 1mhz.xlsx,0.41499,1.84634e-09
s8a 1mhz.xlsx,0.42,1.86504e-09
s8a 1mhz.xlsx,0.42,1.86504e-09
s8a 1mhz.xlsx,0.42497,1.87397e-09
s8a 1mhz.xlsx,0.42497,1.87397e-09
s8a 1mhz.xlsx,0.42997,1.88037e-09
s8a 1mhz.xlsx,0.42997,1.88037e-09
s8a 1mhz.xlsx,0.43498,1.88806e-09
s8a 1mhz.xlsx,0.43498,1.88806e-09
s8a 1mhz.xlsx,0.43998,1.90213e-09
s8a 1mhz.xlsx,0.43998,1.90213e-09
s8a 1mhz.xlsx,0.44497,1.90862e-09
s8a 1mhz.xlsx,0.44497,1.90862e-09
s8a 1mhz.xlsx,0.44997,1.92261e-09
s8a 1mhz.xlsx,0.44997,1.92261e-09
s8a 1mhz.xlsx,0.45498,1.92856e-09
s8a 1mhz.xlsx,0.45498,1.92856e-09
s8a 1mhz.xlsx,0.45999,1.93763e-09
s8a 1mhz.xlsx,0.45999,1.93763e-09
s8a 1mhz.xlsx,0.465,1.95028e-09
s8a 1mhz.xlsx,0.465,1.95028e-09
s8a 1mhz.xlsx,0.46997,1.94931e-09
s8a 1mhz.xlsx,0.46997,1.94931e-09
s8a 1mhz.xlsx,0.47498,1.95528e-09
s8a 1mhz.xlsx,0.47498,1.95528e-09
s8a 1mhz.xlsx,0.47998,1.97039e-09
s8a 1mhz.xlsx,0.47998,1.97039e-09
s8a 1mhz.xlsx,0.48499,1.96767e-09
s8a 1mhz.xlsx,0.48499,1.96767e-09
s8a 1mhz.xlsx,0.48996,1.97575e-09
s8a 1mhz.xlsx,0.48996,1.97575e-09
s8a 1mhz.xlsx,0.49497,1.98435e-09
s8a 1mhz.xlsx,0.49497,1.98435e-09
s8a 1mhz.xlsx,0.49998,1.98009e-09
s8a 1mhz.xlsx,0.49998,1.98009e-09
s8a 1mhz.xlsx,0.50498,1.98514e-09
s8a 1mhz.xlsx,0.50498,1.98514e-09
s8a 1mhz.xlsx,0.51,1.99025e-09
s8a 1mhz.xlsx,0.51,1.99025e-09
s8a 1mhz.xlsx,0.51497,1.99256e-09
s8a 1mhz.xlsx,0.51497,1.99256e-09
s8a 1mhz.xlsx,0.51998,1.99672e-09
s8a 1mhz.xlsx,0.51998,1.99672e-09
s8a 1mhz.xlsx,0.52498,2.01031e-09
s8a 1mhz.xlsx,0.52498,2.01031e-09
s8a 1mhz.xlsx,0.52999,2.00927e-09
s8a 1mhz.xlsx,0.52999,2.00927e-09
s8a 1mhz.xlsx,0.53497,2.02359e-09
s8a 1mhz.xlsx,0.53497,2.02359e-09
s8a 1mhz.xlsx,0.53998,2.0267e-09
s8a 1mhz.xlsx,0.53998,2.0267e-09
s8a 1mhz.xlsx,0.54499,2.02914e-09
s8a 1mhz.xlsx,0.54499,2.02914e-09
s8a 1mhz.xlsx,0.55,2.03224e-09
s8a 1mhz.xlsx,0.55,2.03224e-09
s8a 1mhz.xlsx,0.55501,2.03425e-09
s8a 1mhz.xlsx,0.55501,2.03425e-09
s8a 1mhz.xlsx,0.55997,2.04442e-09
s8a 1mhz.xlsx,0.55997,2.04442e-09
s8a 1mhz.xlsx,0.56498,2.0409e-09
s8a 1mhz.xlsx,0.56498,2.0409e-09
s8a 1mhz.xlsx,0.56999,2.05055e-09
s8a 1mhz.xlsx,0.56999,2.05055e-09
s8a 1mhz.xlsx,0.575,2.05104e-09
s8a 1mhz.xlsx,0.575,2.05104e-09
s8a 1mhz.xlsx,0.57998,2.05842e-09
s8a 1mhz.xlsx,0.57998,2.05842e-09
s8a 1mhz.xlsx,0.58498,2.07001e-09
s8a 1mhz.xlsx,0.58498,2.07001e-09
s8a 1mhz.xlsx,0.59,2.07062e-09
s8a 1mhz.xlsx,0.59,2.07062e-09
s8a 1mhz.xlsx,0.59501,2.06707e-09
s8a 1mhz.xlsx,0.59501,2.06707e-09
s8a 1mhz.xlsx,0.59997,2.06851e-09
s8a 1mhz.xlsx,0.59997,2.06851e-09
s8a 1mhz.xlsx,0.60498,2.06628e-09
s8a 1mhz.xlsx,0.60498,2.06628e-09
s8a 1mhz.xlsx,0.60998,2.06535e-09
s8a 1mhz.xlsx,0.60998,2.06535e-09
s8a 1mhz.xlsx,0.615,2.06076e-09
s8a 1mhz.xlsx,0.615,2.06076e-09
s8a 1mhz.xlsx,0.62,2.05905e-09
s8a 1mhz.xlsx,0.62,2.05905e-09
s8a 1mhz.xlsx,0.62498,2.06926e-09
s8a 1mhz.xlsx,0.62498,2.06926e-09
s8a 1mhz.xlsx,0.62998,2.06177e-09
s8a 1mhz.xlsx,0.62998,2.06177e-09
s8a 1mhz.xlsx,0.63499,2.05908e-09
s8a 1mhz.xlsx,0.63499,2.05908e-09
s8a 1mhz.xlsx,0.64,2.05933e-09
s8a 1mhz.xlsx,0.64,2.05933e-09
s8a 1mhz.xlsx,0.64497,2.05961e-09
s8a 1mhz.xlsx,0.64497,2.05961e-09
s8a 1mhz.xlsx,0.64998,2.06817e-09
s8a 1mhz.xlsx,0.64998,2.06817e-09
s8a 1mhz.xlsx,0.65499,2.07344e-09
s8a 1mhz.xlsx,0.65499,2.07344e-09
s8a 1mhz.xlsx,0.65999,2.06279e-09
s8a 1mhz.xlsx,0.65999,2.06279e-09
s8a 1mhz.xlsx,0.665,2.06887e-09
s8a 1mhz.xlsx,0.665,2.06887e-09
s8a 1mhz.xlsx,0.66997,2.06383e-09
s8a 1mhz.xlsx,0.66997,2.06383e-09
s8a 1mhz.xlsx,0.67498,2.07126e-09
s8a 1mhz.xlsx,0.67498,2.07126e-09
s8a 1mhz.xlsx,0.67999,2.07361e-09
s8a 1mhz.xlsx,0.67999,2.07361e-09
s8a 1mhz.xlsx,0.685,2.06838e-09
s8a 1mhz.xlsx,0.685,2.06838e-09
s8a 1mhz.xlsx,0.68997,2.06969e-09
s8a 1mhz.xlsx,0.68997,2.06969e-09
