Potential	Current	Potential	Current	Potential	Current	Potential	Current	Potential	Current
V	A	V	A	V	A	V	A	V	A
	1 mHz		2 mHz		16 mHz		39 mHz		167 mHz
0.29497	1.49859E-9	0.29496	1.44699E-9	-0.31999	-1.64158E-9				
0.29998	1.52075E-9	0.29997	1.47667E-9	-0.35999	-1.84209E-9				
0.30498	1.5416E-9	0.30498	1.49187E-9	-0.40002	-2.03183E-9				
0.30999	1.55746E-9	0.30999	1.5137E-9	-0.44001	-2.22881E-9				
0.31496	1.57719E-9	0.31496	1.53326E-9	-0.48	-2.42083E-9				
0.31997	1.5898E-9	0.31996	1.55396E-9	-0.51999	-2.61703E-9				
0.32498	1.61176E-9	0.32497	1.57653E-9	-0.56002	-2.80558E-9				
0.32999	1.62321E-9	0.32999	1.59277E-9	-0.60002	-2.95746E-9				
0.33496	1.6438E-9	0.33497	1.59701E-9	-0.64	-3.15195E-9				
0.33997	1.66175E-9	0.33997	1.62078E-9	-0.68001	-3.32813E-9				
0.34498	1.67656E-9	0.34498	1.63275E-9	-0.72	-3.51952E-9				
0.35	1.6863E-9	0.34999	1.65482E-9	-0.76002	-3.70656E-9				
0.355	1.70207E-9	0.355	1.67218E-9	-0.80001	-3.85827E-9				
0.35997	1.71646E-9	0.35997	1.6924E-9	-0.84001	-3.96769E-9				
0.36497	1.73339E-9	0.36498	1.71466E-9	-0.87999	-4.08378E-9				
0.36999	1.74708E-9	0.36999	1.72515E-9	-0.92002	-4.11816E-9				
0.375	1.75697E-9	0.375	1.7395E-9	-0.96002	-4.08952E-9				
0.37997	1.76951E-9	0.37997	1.75003E-9	-1.00001	-4.05297E-9				
0.38498	1.78666E-9	0.38498	1.76818E-9	-1.00001	-3.82967E-9				
0.38999	1.79617E-9	0.39	1.77994E-9	-0.96002	-3.4658E-9				
0.39499	1.80628E-9	0.395	1.79446E-9	-0.92002	-3.21463E-9				
0.39997	1.81562E-9	0.39997	1.81402E-9	-0.88	-3.04325E-9				
0.40498	1.83485E-9	0.40498	1.82947E-9	-0.84	-2.87013E-9				
0.40999	1.84075E-9	0.40998	1.84051E-9	-0.80001	-2.74118E-9				
0.41499	1.84634E-9	0.415	1.86405E-9	-0.76002	-2.57956E-9				
0.42	1.86504E-9	0.42	1.87719E-9	-0.72	-2.44637E-9				
0.42497	1.87397E-9	0.42497	1.89354E-9	-0.68001	-2.30938E-9				
